id,dbscan isolation scores,dbscan isolation anomaly identifier,dbscan isolation anomaly category
1,0.014955355366714551,1,Anomaly
2,-0.03614981393310601,-1,not anomaly
3,0.1176976415159407,1,Anomaly
4,0.09121730779304077,1,Anomaly
5,0.13013674434704703,1,Anomaly
6,0.13814904688682095,1,Anomaly
7,0.1255788704817935,1,Anomaly
8,0.13621596722283313,1,Anomaly
9,0.04362860924644035,1,Anomaly
10,0.07998635250680347,1,Anomaly
11,0.13602272943354948,1,Anomaly
12,0.07771268199176129,1,Anomaly
13,0.12767723995956248,1,Anomaly
14,0.07679731561022102,1,Anomaly
15,0.1318828361587584,1,Anomaly
16,0.0720286591495009,1,Anomaly
17,0.09492651253704815,1,Anomaly
18,0.10441567845204458,1,Anomaly
19,0.13013674434704703,1,Anomaly
20,0.14042289134616442,1,Anomaly
21,0.07615886116693504,1,Anomaly
22,0.04564076054726163,1,Anomaly
23,0.03564451759293957,1,Anomaly
24,0.0800351655986738,1,Anomaly
25,0.03029432266369414,1,Anomaly
26,0.04626598127266218,1,Anomaly
27,0.14182488309695795,1,Anomaly
28,-0.09591749397916272,-1,not anomaly
29,0.11302615912049885,1,Anomaly
30,0.07702518729069391,1,Anomaly
31,0.11093023546869696,1,Anomaly
32,0.10863256258822584,1,Anomaly
33,-0.23353627307502522,-1,not anomaly
34,0.1176976415159407,1,Anomaly
35,0.1290113367975107,1,Anomaly
36,0.014165545953154612,1,Anomaly
37,0.11128307693648343,1,Anomaly
38,0.1307968259221634,1,Anomaly
39,-0.01934939996564522,-1,not anomaly
40,0.022621420430198935,1,Anomaly
41,-0.0035413864882887225,-1,not anomaly
42,-0.008314883846570642,-1,not anomaly
43,-0.1501440517442637,-1,not anomaly
44,0.028155872080248334,1,Anomaly
45,-0.26991423768581346,-1,not anomaly
46,-0.14412869120690008,-1,not anomaly
47,-0.14412869120690008,-1,not anomaly
